pp,wk,ve,tot
21,2,0,119.0949976983197
21,2,1,119.11783482078779
21,2,2,119.1406719432559
21,2,3,119.163509065724
21,2,4,119.18634618819209
21,2,5,119.2091833106602
21,2,6,119.2320204331283
21,2,7,119.2548575555964
21,2,8,119.2776946780645
21,2,9,119.3005318005326
21,2,10,119.3233689230007
21,2,11,119.34620604546879
21,2,12,119.3690431679369
21,2,13,119.391880290405
21,2,14,119.4147174128731
21,2,15,119.4375545353412
21,2,16,119.4603916578093
21,2,17,119.4832287802774
21,2,18,119.5060659027455
21,2,19,119.5289030252136
21,2,20,119.5517401476817
21,2,21,119.5745772701498
21,2,22,119.5974143926179
21,2,23,119.62025151508601
21,2,24,119.6430886375541
21,2,25,119.6659257600222
21,2,26,119.68876288249031
21,2,27,119.7116000049584
21,2,28,119.7344371274265
21,2,29,119.7572742498946
21,2,30,119.78011137236271
21,2,31,119.8029484948308
21,2,32,119.8257856172989
21,2,33,119.84862273976701
21,2,34,119.8714598622351
21,2,35,119.8942969847032
21,2,36,119.91713410717131
21,2,37,119.93997122963941
21,2,38,119.96280835210752
21,2,39,119.9856454745756
21,2,40,120.00848259704371
21,2,41,120.03131971951181
21,2,42,120.0541568419799
21,2,43,120.07699396444801
21,2,44,120.09983108691611
21,3,0,117.08974194284934
21,3,1,117.11257906531745
21,3,2,117.13541618778555
21,3,3,117.15825331025366
21,3,4,117.18109043272175
21,3,5,117.20392755518985
21,3,6,117.22676467765795
21,3,7,117.24960180012604
21,3,8,117.27243892259415
21,3,9,117.29527604506225
21,3,10,117.31811316753036
21,3,11,117.34095028999845
21,3,12,117.36378741246655
21,3,13,117.38662453493465
21,3,14,117.40946165740274
21,3,15,117.43229877987085
21,3,16,117.45513590233895
21,3,17,117.47797302480706
21,3,18,117.50081014727516
21,3,19,117.52364726974325
21,3,20,117.54648439221135
21,3,21,117.56932151467946
21,3,22,117.59215863714755
21,3,23,117.61499575961565
21,3,24,117.63783288208376
21,3,25,117.66067000455186
21,3,26,117.68350712701996
21,3,27,117.70634424948805
21,3,28,117.72918137195616
21,3,29,117.75201849442425
21,3,30,117.77485561689235
21,3,31,117.79769273936046
21,3,32,117.82052986182856
21,3,33,117.84336698429667
21,3,34,117.86620410676476
21,3,35,117.88904122923286
21,3,36,117.91187835170096
21,3,37,117.93471547416905
21,3,38,117.95755259663716
21,3,39,117.98038971910526
21,3,40,118.00322684157337
21,3,41,118.02606396404147
21,3,42,118.04890108650956
21,3,43,118.07173820897766
21,3,44,118.09457533144577
21,4,0,115.084486187379
21,4,1,115.1073233098471
21,4,2,115.1301604323152
21,4,3,115.1529975547833
21,4,4,115.1758346772514
21,4,5,115.1986717997195
21,4,6,115.22150892218761
21,4,7,115.2443460446557
21,4,8,115.2671831671238
21,4,9,115.29002028959191
21,4,10,115.31285741206
21,4,11,115.3356945345281
21,4,12,115.3585316569962
21,4,13,115.38136877946431
21,4,14,115.4042059019324
21,4,15,115.4270430244005
21,4,16,115.44988014686861
21,4,17,115.4727172693367
21,4,18,115.4955543918048
21,4,19,115.5183915142729
21,4,20,115.54122863674101
21,4,21,115.56406575920911
21,4,22,115.5869028816772
21,4,23,115.60974000414531
21,4,24,115.63257712661341
21,4,25,115.6554142490815
21,4,26,115.6782513715496
21,4,27,115.70108849401771
21,4,28,115.72392561648581
21,4,29,115.7467627389539
21,4,30,115.76959986142201
21,4,31,115.79243698389011
21,4,32,115.8152741063582
21,4,33,115.8381112288263
21,4,34,115.86094835129441
21,4,35,115.88378547376252
21,4,36,115.90662259623062
21,4,37,115.92945971869871
21,4,38,115.95229684116681
21,4,39,115.97513396363492
21,4,40,115.99797108610301
21,4,41,116.02080820857111
21,4,42,116.04364533103922
21,4,43,116.06648245350732
21,4,44,116.08931957597542
21,5,0,113.07923043190866
21,5,1,113.10206755437676
21,5,2,113.12490467684486
21,5,3,113.14774179931295
21,5,4,113.17057892178106
21,5,5,113.19341604424916
21,5,6,113.21625316671725
21,5,7,113.23909028918536
21,5,8,113.26192741165346
21,5,9,113.28476453412156
21,5,10,113.30760165658965
21,5,11,113.33043877905776
21,5,12,113.35327590152586
21,5,13,113.37611302399395
21,5,14,113.39895014646206
21,5,15,113.42178726893016
21,5,16,113.44462439139826
21,5,17,113.46746151386637
21,5,18,113.49029863633446
21,5,19,113.51313575880256
21,5,20,113.53597288127067
21,5,21,113.55881000373876
21,5,22,113.58164712620686
21,5,23,113.60448424867496
21,5,24,113.62732137114307
21,5,25,113.65015849361117
21,5,26,113.67299561607926
21,5,27,113.69583273854737
21,5,28,113.71866986101547
21,5,29,113.74150698348356
21,5,30,113.76434410595166
21,5,31,113.78718122841977
21,5,32,113.81001835088787
21,5,33,113.83285547335596
21,5,34,113.85569259582407
21,5,35,113.87852971829217
21,5,36,113.90136684076026
21,5,37,113.92420396322836
21,5,38,113.94704108569647
21,5,39,113.96987820816457
21,5,40,113.99271533063268
21,5,41,114.01555245310077
21,5,42,114.03838957556887
21,5,43,114.06122669803698
21,5,44,114.08406382050507
22,0,0,124.54148743000479
22,0,1,124.5643245524729
22,0,2,124.587161674941
22,0,3,124.6099987974091
22,0,4,124.63283591987721
22,0,5,124.6556730423453
22,0,6,124.6785101648134
22,0,7,124.70134728728151
22,0,8,124.7241844097496
22,0,9,124.7470215322177
22,0,10,124.7698586546858
22,0,11,124.79269577715391
22,0,12,124.815532899622
22,0,13,124.8383700220901
22,0,14,124.86120714455821
22,0,15,124.8840442670263
22,0,16,124.9068813894944
22,0,17,124.9297185119625
22,0,18,124.95255563443061
22,0,19,124.97539275689871
22,0,20,124.9982298793668
22,0,21,125.02106700183491
22,0,22,125.043904124303
22,0,23,125.0667412467711
22,0,24,125.0895783692392
22,0,25,125.11241549170731
22,0,26,125.13525261417541
22,0,27,125.15808973664352
22,0,28,125.18092685911161
22,0,29,125.20376398157971
22,0,30,125.2266011040478
22,0,31,125.2494382265159
22,0,32,125.27227534898401
22,0,33,125.29511247145211
22,0,34,125.31794959392022
22,0,35,125.34078671638832
22,0,36,125.36362383885641
22,0,37,125.38646096132452
22,0,38,125.4092980837926
22,0,39,125.43213520626071
22,0,40,125.45497232872881
22,0,41,125.47780945119692
22,0,42,125.50064657366502
22,0,43,125.52348369613311
22,0,44,125.54632081860122
22,1,0,122.53623167453445
22,1,1,122.55906879700255
22,1,2,122.58190591947066
22,1,3,122.60474304193875
22,1,4,122.62758016440685
22,1,5,122.65041728687495
22,1,6,122.67325440934306
22,1,7,122.69609153181116
22,1,8,122.71892865427925
22,1,9,122.74176577674736
22,1,10,122.76460289921545
22,1,11,122.78744002168355
22,1,12,122.81027714415166
22,1,13,122.83311426661976
22,1,14,122.85595138908786
22,1,15,122.87878851155595
22,1,16,122.90162563402406
22,1,17,122.92446275649216
22,1,18,122.94729987896025
22,1,19,122.97013700142836
22,1,20,122.99297412389646
22,1,21,123.01581124636456
22,1,22,123.03864836883267
22,1,23,123.06148549130076
22,1,24,123.08432261376886
22,1,25,123.10715973623697
22,1,26,123.12999685870506
22,1,27,123.15283398117316
22,1,28,123.17567110364126
22,1,29,123.19850822610937
22,1,30,123.22134534857746
22,1,31,123.24418247104556
22,1,32,123.26701959351367
22,1,33,123.28985671598176
22,1,34,123.31269383844986
22,1,35,123.33553096091796
22,1,36,123.35836808338607
22,1,37,123.38120520585417
22,1,38,123.40404232832226
22,1,39,123.42687945079037
22,1,40,123.44971657325847
22,1,41,123.47255369572656
22,1,42,123.49539081819466
22,1,43,123.51822794066277
22,1,44,123.54106506313087
22,2,0,120.5309759190641
22,2,1,120.55381304153221
22,2,2,120.57665016400031
22,2,3,120.59948728646842
22,2,4,120.6223244089365
22,2,5,120.64516153140461
22,2,6,120.66799865387271
22,2,7,120.6908357763408
22,2,8,120.71367289880891
22,2,9,120.73651002127701
22,2,10,120.75934714374512
